Index_name,Longitude,Latitude,Store1,Store2,Store3,Store4,Store5,Store6,Store7,Store8,Store9,Store10
0,-87.68712473740239,41.92322348069765,1372.78,574.08,845.01,649.98,611.12,1173.95,1471.94,1685.39,1890.46,2245.36
1,-87.7089781818963,41.91211338106909,1525.88,720.1,1137.47,1085.77,568.12,1211.97,1942.1,1692.12,2360.62,2373.36
2,-87.70001587078023,41.91065777262797,1387.18,590.21,1058.59,1006.88,647.64,1289.08,1871.52,1840.37,2290.04,2400.34
3,-87.7132929555927,41.92868551035215,1686.76,888.07,1234.12,912.95,231.46,875.3,1659.77,1355.45,2078.29,2091.03
4,-87.70706266444616,41.92066862896905,1536.01,737.32,1083.37,947.7,421.35,1062.79,1752.38,1542.94,2170.9,2183.64
5,-87.69363353703372,41.91180102409599,1307.59,520.26,932.84,881.13,663.01,1299.67,1703.09,1811.11,2121.61,2371.08
6,-87.69894569781468,41.93067460182109,1635.33,836.64,1182.69,686.55,438.66,962.29,1504.88,1473.73,1923.41,2033.7
7,-87.71689405133196,41.927194127455735,1753.61,954.91,1300.96,979.79,283.05,936.52,1720.98,1416.67,2139.5,2152.24
8,-87.70325951915561,41.91828058149077,1465.59,666.89,1012.94,912.35,511.96,1153.4,1775.98,1667.32,2194.5,2227.29
9,-87.724160528853,41.9108906731891,1860.02,939.08,1422.93,1322.34,683.43,1271.64,2121.36,1817.04,2539.88,2552.62
10,-87.70202827299796,41.91410949657167,1429.68,679.35,1016.15,955.91,555.51,1196.95,1819.54,1710.88,2238.06,2270.84
11,-87.69426413451123,41.9126743710208,1317.45,530.12,942.7,890.99,658.85,1295.51,1712.95,1806.95,2131.47,2366.92
12,-87.713708986847,41.91890613392621,1637.51,838.82,1184.87,1084.28,411.7,1055.55,1840.02,1535.7,2258.54,2271.28
13,-87.68863772681773,41.921241726589614,1358.34,559.64,905.69,708.73,627.18,1193.03,1530.69,1704.47,1949.21,2264.44
14,-87.68465935415331,41.92232791952924,1345.68,546.98,803.96,608.93,661.34,1224.17,1430.89,1735.62,1849.41,2295.58
15,-87.67868386564211,41.91777564643709,1201.57,402.87,665.8,565.93,691.01,1270.41,1387.89,1781.85,1806.41,2341.82
16,-87.69849385032275,41.92333330512913,1432.98,634.28,980.33,791.69,403.73,1045.17,1610.02,1578.87,2028.54,2138.84
17,-87.70350495132048,41.91328532971853,1462.1,665.13,1073.69,1021.99,620.23,1261.67,1884.26,1775.6,2302.78,2335.56
18,-87.68449008038051,41.91541540515888,1213.77,415.07,792.04,702.44,643.93,1280.59,1524.4,1792.03,1942.92,2352.0
19,-87.67872005388551,41.92030785493768,1278.71,480.02,727.4,532.37,756.5,1236.86,1354.33,1748.3,1772.85,2308.27
20,-87.69847105088371,41.92175662939543,1447.85,649.16,995.21,828.13,477.07,1103.87,1646.46,1615.31,2064.98,2175.28
21,-87.69810366929828,41.92168851049676,1450.07,651.38,997.42,886.2,453.55,1094.99,1670.39,1639.24,2088.92,2199.21
22,-87.70794570296144,41.92116892830196,1560.82,762.13,1108.18,957.27,409.69,1053.54,1761.94,1533.69,2180.47,2193.21
23,-87.69770862733952,41.92576468428714,1476.22,677.52,1023.57,748.08,453.13,1023.82,1566.41,1535.27,1984.94,2095.23
24,-87.71897375568557,41.923352356557125,1782.83,984.13,1330.18,1067.94,381.06,1034.53,1818.99,1514.68,2237.51,2250.25
25,-87.71560013466731,41.92305106699527,1726.62,927.93,1273.98,1017.21,367.81,1011.66,1796.12,1491.81,2214.65,2227.39
26,-87.69646672809058,41.9289274681658,1536.47,737.78,1059.8,683.72,388.76,959.46,1502.05,1470.9,1920.57,2030.87
27,-87.71964998436206,41.91767091842326,1688.09,889.4,1235.44,1134.86,495.15,1148.62,1933.08,1628.77,2351.61,2364.35
28,-87.71223199414794,41.91175115971448,1699.16,778.22,1182.06,1130.35,528.35,1172.2,1956.66,1652.35,2375.18,2387.92
29,-87.70492174641164,41.92812368819024,1567.44,768.74,1114.79,768.48,274.15,914.03,1594.02,1465.31,2012.54,2025.28
30,-87.68313586642454,41.931865971710266,1504.23,724.58,921.76,397.44,599.0,1033.22,1219.4,1544.66,1637.92,2104.63
31,-87.70722447462666,41.92870908801482,1599.88,801.19,1147.24,826.07,262.9,906.74,1630.74,1386.89,2049.27,2062.01
32,-87.72265132607781,41.91347808241853,1854.99,934.06,1412.46,1327.41,688.5,1278.18,2126.43,1822.11,2544.95,2557.69
33,-87.71528891794398,41.92154003169113,1689.23,890.54,1236.59,1046.27,396.87,1040.71,1825.18,1520.86,2243.7,2256.44
34,-87.68940426167359,41.924062372069,1375.09,576.4,888.3,693.27,587.47,1150.31,1515.23,1661.75,1933.75,2221.72
35,-87.70806330619104,41.92806679110502,1604.33,805.63,1151.68,830.51,261.36,905.21,1635.19,1385.36,2053.71,2066.45
36,-87.68606271552623,41.91307960477205,1230.74,432.05,853.44,801.73,712.93,1349.59,1623.69,1861.04,2042.21,2421.0
37,-87.69919359879002,41.9270020237955,1513.71,715.01,1061.06,736.66,408.51,1012.4,1554.99,1523.84,1973.51,2083.81
38,-87.68213624553685,41.91399223096317,1198.99,400.29,738.88,687.17,701.24,1337.9,1509.13,1849.34,1927.65,2409.31
39,-87.72190698587434,41.9264594512316,1786.65,987.96,1334.01,1029.43,342.55,996.02,1780.48,1476.17,2199.01,2211.75
40,-87.68653330402108,41.92678600186952,1423.58,624.89,888.48,594.37,591.42,1102.27,1416.33,1613.71,1834.85,2173.68
41,-87.68496243101426,41.91257668611505,1171.82,373.13,808.66,756.95,720.98,1357.65,1578.91,1869.09,1997.43,2429.06
42,-87.68074604718856,41.92848065969261,1399.27,619.61,816.79,488.6,641.15,1068.42,1310.56,1579.86,1729.08,2139.82
43,-87.68121190156843,41.92924859662403,1416.55,636.9,834.07,505.89,640.55,1067.82,1327.84,1579.26,1746.37,2139.23
44,-87.71308162086191,41.92748614282024,1704.55,905.86,1251.91,930.74,268.0,911.84,1696.31,1391.99,2114.83,2127.57
45,-87.69514906122411,41.922056465250925,1390.09,591.4,937.45,810.96,451.52,1088.19,1630.78,1599.63,2049.3,2159.6
46,-87.71266285123254,41.9104470582787,1687.91,766.98,1214.28,1162.57,560.57,1204.42,1988.88,1684.57,2407.4,2420.14
47,-87.68024495717218,41.92389662449987,1362.05,581.27,779.57,497.16,739.71,1201.64,1319.11,1713.08,1737.64,2273.05
48,-87.70894320069581,41.91981589889974,1590.26,791.56,1137.61,998.08,428.78,1072.62,1802.76,1552.77,2221.28,2234.02
49,-87.71663602657783,41.921806626182665,1725.54,926.84,1272.89,1050.28,368.84,1022.3,1806.77,1502.45,2225.29,2238.03
50,-87.70988305943757,41.91442873109852,1569.93,771.96,1156.4,1077.91,560.36,1204.21,1934.34,1684.36,2352.86,2365.6
51,-87.68884671476589,41.92865792362791,1511.33,712.63,959.64,498.2,528.11,1058.14,1320.16,1569.58,1738.68,2129.54
52,-87.71316789112205,41.92437728122524,1715.75,917.05,1263.1,958.53,305.6,949.45,1733.91,1429.6,2152.44,2165.18
53,-87.72174189464367,41.91617098147013,1716.91,987.69,1296.27,1195.68,555.98,1175.29,1993.91,1689.59,2412.43,2425.17
54,-87.72041332517901,41.93016002562918,1811.02,1012.32,1358.37,1037.2,270.58,924.04,1708.51,1404.19,2127.03,2139.77
55,-87.7080679968265,41.92489067403667,1594.6,795.91,1141.96,884.08,357.73,999.17,1688.75,1479.32,2107.27,2120.01
56,-87.71258400018141,41.92075834771782,1652.79,854.09,1200.14,1009.61,360.21,1004.05,1788.52,1484.2,2207.04,2219.78
57,-87.7082311301676,41.92160228363931,1682.09,883.39,1229.44,959.95,396.42,1040.26,1764.63,1520.41,2183.15,2195.89
58,-87.68604491871339,41.92407023721384,1394.68,595.98,859.61,664.59,627.88,1182.93,1486.55,1694.37,1905.07,2254.34
59,-87.6775600145437,41.91100091318585,1067.53,268.83,732.97,681.26,768.25,1385.75,1503.22,1897.19,1921.74,2457.16
60,-87.70258502787729,41.9252939453385,1514.11,715.41,1061.46,794.79,336.55,977.99,1620.62,1491.92,2039.14,2051.88
61,-87.69756487450702,41.931004967399616,1553.28,754.58,1100.63,617.11,405.57,892.85,1435.44,1404.29,1853.96,1964.26
62,-87.70187773300704,41.91826688094973,1450.32,651.62,997.67,897.08,485.23,1126.67,1749.25,1640.59,2167.77,2200.56
63,-87.70066080588141,41.91489409920474,1440.09,684.16,1032.58,931.99,562.45,1203.89,1797.52,1766.38,2216.04,2326.34
64,-87.68171016359628,41.92053793099424,1304.6,505.91,767.03,572.01,722.55,1276.49,1393.97,1787.94,1812.49,2347.91
65,-87.68641180963776,41.92919045208887,1504.53,724.88,922.06,460.62,564.84,1031.39,1282.58,1542.83,1701.1,2102.8
66,-87.72099116848665,41.92142728469457,1791.27,992.58,1338.63,1148.34,464.99,1118.45,1902.92,1598.6,2321.44,2334.18
67,-87.67867629281585,41.92635650035931,1340.74,561.08,758.26,430.07,669.42,1096.69,1252.03,1608.13,1670.55,2168.1
68,-87.72097108470824,41.91351581474789,1684.74,921.19,1271.2,1205.23,566.32,1219.79,2004.25,1699.94,2422.77,2435.51
69,-87.70030310874566,41.912296829150286,1401.04,604.07,1013.28,961.57,594.58,1236.02,1826.21,1795.06,2244.73,2355.02
70,-87.70442165228212,41.91474957073985,1492.44,693.74,1084.3,983.71,573.93,1217.78,1847.34,1738.69,2265.87,2298.65
71,-87.70735567910032,41.91089009823085,1495.47,689.43,1149.2,1097.5,604.98,1248.82,1978.96,1728.97,2397.48,2410.22
72,-87.69567907172373,41.9213725174372,1391.13,592.43,938.48,811.99,457.76,1094.42,1637.01,1605.86,2055.53,2165.83
73,-87.6821405656222,41.92519695502394,1466.8,668.1,879.89,575.95,737.51,1204.31,1397.91,1715.76,1816.43,2275.73
74,-87.69821534840166,41.92609982334047,1500.21,701.52,1047.57,725.94,430.98,1001.68,1544.27,1513.12,1962.79,2073.09
75,-87.70450970319098,41.91387384272485,1455.12,704.8,1041.59,989.89,614.29,1255.73,1859.98,1828.83,2278.5,2388.8
76,-87.70415730124678,41.92948655636542,1599.61,800.91,1146.96,800.66,310.89,913.29,1576.99,1448.28,1995.51,2008.25
77,-87.69515205023517,41.92329531316427,1416.25,617.55,963.6,665.02,451.93,1088.59,1631.18,1600.03,2049.7,2160.0
78,-87.70674066152277,41.9106652807282,1506.55,700.77,1118.14,1066.44,598.71,1242.55,1928.71,1722.7,2347.23,2380.02
79,-87.70103668831429,41.93160808849373,1627.53,828.83,1174.88,686.85,371.62,879.06,1520.86,1392.15,1939.38,1952.12
80,-87.70746127686733,41.93138829665845,1625.34,826.64,1172.69,817.98,258.61,826.81,1516.4,1306.96,1934.92,1947.66
81,-87.68458729296474,41.92285843469434,1341.61,542.91,799.88,604.86,659.31,1222.14,1426.82,1733.58,1845.34,2293.55
82,-87.6998233004425,41.9237854892722,1477.64,678.94,1024.99,836.35,420.17,1061.61,1654.68,1623.53,2073.2,2183.5
83,-87.68726742450832,41.920149075105016,1335.87,537.17,844.22,649.19,616.95,1231.33,1471.15,1742.77,1889.67,2302.74
84,-87.71856255452421,41.91786023046058,1695.64,896.94,1242.99,1142.41,502.7,1156.17,1940.63,1636.32,2359.15,2371.89
85,-87.71027737421728,41.92010427014959,1622.64,823.95,1170.0,1016.06,422.33,1066.18,1850.65,1546.33,2269.17,2281.91
86,-87.691758649734,41.92460678698007,1434.78,636.08,947.98,752.96,528.76,1091.59,1634.18,1603.03,2052.7,2163.0
87,-87.68061458468715,41.913102618557886,1141.62,342.93,759.59,707.89,744.71,1381.37,1529.84,1892.81,1948.37,2452.78
88,-87.71681206368194,41.91622877138361,1648.27,919.05,1223.58,1123.0,483.3,1136.76,1921.22,1616.91,2339.75,2352.49
89,-87.70413817805397,41.9271993638539,1542.52,743.82,1089.87,823.2,313.34,954.78,1644.37,1434.93,2062.89,2075.63
90,-87.72307609438221,41.913141322063794,1854.99,934.06,1412.46,1327.41,688.5,1278.18,2126.43,1822.11,2544.95,2557.69
91,-87.7110773794939,41.91951044328819,1611.86,813.17,1159.22,1058.63,392.64,1036.48,1820.95,1516.63,2239.47,2252.21
92,-87.70132951890325,41.9282852642533,1536.97,738.28,1084.33,725.34,327.4,938.91,1543.68,1512.53,1962.2,2072.5
93,-87.69304642619073,41.911584315175965,1316.04,528.71,941.29,889.59,676.77,1313.43,1711.54,1824.87,2130.06,2384.84
94,-87.70849405768902,41.930203609646426,1630.83,832.14,1178.19,803.91,247.81,888.38,1577.97,1368.53,1996.49,2009.23
95,-87.72615464018092,41.92781850980334,1852.01,1053.31,1399.36,1078.2,381.45,934.56,1819.38,1515.07,2237.91,2250.65
96,-87.69252135616335,41.91742828443432,1312.34,513.64,859.69,759.1,561.77,1198.43,1581.06,1709.87,1999.58,2269.84
97,-87.70721124413122,41.91961989184701,1556.84,758.14,1104.19,1003.6,455.17,1096.61,1786.19,1576.76,2204.72,2217.46
98,-87.71259082800458,41.91860774391995,1612.6,813.9,1159.95,1059.37,403.46,1047.31,1831.77,1527.45,2250.29,2263.03
99,-87.70216473696158,41.91741780258548,1436.41,637.71,983.76,883.17,482.78,1124.22,1746.81,1638.15,2165.33,2198.11
100,-87.68802173792517,41.91073960413189,1224.11,426.1,905.79,854.08,712.04,1348.7,1676.04,1860.14,2094.56,2420.11
101,-87.68035810450223,41.920850684648826,1268.93,470.23,728.66,533.64,726.51,1238.13,1355.6,1749.57,1774.12,2309.54
102,-87.69076987572687,41.92051347046407,1347.25,548.55,894.6,759.0,582.42,1188.82,1580.96,1700.26,1999.48,2260.23
103,-87.72156521549273,41.9240585701031,1832.94,1034.24,1380.29,1081.27,394.4,1047.86,1832.33,1528.01,2250.85,2263.59
104,-87.694281448729,41.91651065650097,1355.71,557.02,915.14,814.55,617.21,1253.88,1636.51,1765.32,2055.03,2325.29
105,-87.67847015553764,41.91404006554338,1186.77,388.07,747.42,695.72,750.41,1387.08,1517.68,1898.52,1936.2,2458.49
