percDelayed;averageDelay;percBundled;percReassignedOrders;percReassignedCouriers
0.0677831;13.2658;0.112174;0.0800106;0
0.089799;14.8896;0.123633;0.0849657;0
0.0822309;15.0757;0.121401;0.0801556;0
0.0727562;12.0945;0.11179;0.0801912;0
0.087162;16.6976;0.122342;0.0750853;0
0.0749143;12.5434;0.111844;0.0786072;0
0.0922394;19.5979;0.127515;0.0757774;0
0.0897841;18.2083;0.1198;0.0816219;0
0.0732668;12.1568;0.124475;0.081145;0
0.115851;23.5464;0.144372;0.0946492;0
0.0770031;15.0799;0.112383;0.0861082;0
0.0793042;13.7053;0.11384;0.0877462;0
0.0924543;17.5928;0.117693;0.0952872;0
0.113885;27.399;0.135287;0.0881529;0
0.0699786;12.0697;0.104167;0.0731838;0
0.100691;20.8796;0.115834;0.0820935;0
0.0857291;18.4385;0.113183;0.0745921;0
0.0929694;16.282;0.129539;0.086016;0
0.0654825;11.513;0.104719;0.080859;0
0.0995763;19.3448;0.132945;0.0852754;0
0.0977285;18.2839;0.126255;0.078711;0
0.0743444;15.3663;0.111652;0.0756961;0
0.0905318;17.7435;0.122698;0.0861219;0
0.0769231;14.4405;0.123392;0.0840116;0
0.0884407;17.1841;0.119214;0.0762865;0
0.081468;14.1387;0.117387;0.0845914;0
0.0860104;14.8207;0.126425;0.0831606;0
0.056701;9.2982;0.103351;0.0819588;0
0.094798;19.8223;0.121996;0.0808027;0
0.0677301;12.1875;0.113755;0.0802824;0
0.0737339;14.6602;0.106009;0.0787195;0
0.102693;22.5813;0.135428;0.0863252;0
0.0675427;11.2988;0.108804;0.0788436;0
0.083004;14.4058;0.122266;0.0777339;0
0.0774002;13.6472;0.107605;0.0833333;0
0.0628798;10.0822;0.107266;0.0800528;0
0.0958289;24.9739;0.112988;0.0810454;0
0.0777202;12.9738;0.125648;0.0784974;0
0.0863937;17.1554;0.116513;0.0819022;0
0.0965231;20.7455;0.120913;0.0814738;0
0.0723684;15.345;0.109474;0.0881579;0
0.093073;19.7128;0.114737;0.0802354;0
0.0607392;8.98966;0.103903;0.0827087;0
0.0847774;16.1034;0.113836;0.0810451;0
0.0750454;13.947;0.113477;0.085692;0
0.0878726;17.7675;0.123587;0.0773381;0
0.0491368;7.80133;0.0985392;0.0746348;0
0.0972041;17.485;0.127776;0.0757774;0
0.116537;29.6718;0.129457;0.0881137;0
0.0732104;14.4756;0.116594;0.0824295;0
0.0854635;15.2332;0.12755;0.0844307;0
0.0816219;15.7278;0.112954;0.0784623;0
0.0973101;19.5941;0.126319;0.0864979;0
0.0978947;22.7668;0.118947;0.0857895;0
0.0808081;14.0394;0.118881;0.0758871;0
0.0701031;13.2711;0.112887;0.0840206;0
0.116811;22.1998;0.145505;0.0825292;0
0.0991132;22.3931;0.126239;0.0811163;0
0.107398;23.6375;0.140051;0.0918367;0
0.116547;23.9216;0.132172;0.0819672;0
0.0725402;13.6025;0.104458;0.0815088;0
0.097561;19.9882;0.126147;0.0873328;0
0.0951385;17.1769;0.130423;0.0810246;0
0.0734979;13.2194;0.1022;0.076985;0
0.0958904;19.4735;0.129491;0.0855518;0
0.0573681;10.0277;0.0943448;0.0783034;0
0.122014;25.0863;0.145132;0.0911893;0
0.0835285;15.4569;0.12152;0.0848296;0
0.0800849;15.1732;0.119067;0.0824715;0
0.0739409;13.8919;0.116303;0.0926829;0
0.0747738;12.7539;0.118414;0.0854178;0
0.0861322;16.9396;0.10428;0.0788191;0
0.101891;25.3099;0.121324;0.0874475;0
0.0859294;14.034;0.120457;0.0895639;0
0.0747201;13.868;0.116376;0.0851341;0
0.0635977;10.678;0.099521;0.0808941;0
0.111575;28.3292;0.133994;0.0878519;0
0.106006;22.2772;0.13193;0.0890657;0
0.0877285;18.0867;0.126371;0.0825065;0
0.0785619;16.0615;0.10972;0.0756325;0
0.0608162;10.1969;0.106695;0.0768205;0
0.0671482;11.1051;0.112627;0.0821295;0
0.0723185;13.3432;0.109426;0.0785482;0
0.0529924;8.21988;0.105721;0.0727656;0
0.0948738;19.7075;0.123183;0.0877327;0
0.0952135;18.7118;0.128849;0.0887451;0
0.0942394;17.3902;0.119193;0.0807008;0
0.0955381;18.801;0.124147;0.0795276;0
0.102495;21.6928;0.116984;0.0708345;0
0.138337;43.245;0.135199;0.0876046;0
0.0872413;17.2476;0.125491;0.0864553;0
0.0828933;13.765;0.118004;0.0768215;0
0.109896;25.0074;0.130247;0.0847113;0
0.0875989;16.4599;0.11715;0.0815303;0
0.0943106;20.1548;0.126345;0.0881599;0
0.106456;21.6762;0.128063;0.0772069;0
0.0881886;17.3358;0.121822;0.0850106;0
0.0972987;19.3029;0.115395;0.0823499;0
0.101308;25.5242;0.129777;0.08515;0
0.0975039;17.52;0.126365;0.0834633;0
0.0959014;18.153;0.121618;0.0825074;0
0.076428;12.97;0.122553;0.0817914;0
0.0752454;13.4365;0.105507;0.0842421;0
0.0757735;13.5527;0.111432;0.0786576;0
0.0893313;17.721;0.123022;0.0883104;0
0.115325;24.7332;0.132611;0.0887513;0
0.103106;24.0013;0.134691;0.0796137;0
0.0794233;14.6836;0.121363;0.0825688;0
0.121423;27.0771;0.143594;0.0770817;0
0.100258;19.3168;0.128093;0.0824742;0
0.0647675;9.47165;0.105886;0.0851922;0
0.0823775;14.4398;0.119917;0.0849844;0
0.0804598;16.3545;0.114943;0.0772521;0
