percDelayed;averageDelay;percBundled;percReassignedOrders;percReassignedCouriers
0.0606061;10.9325;0.11882;0.0648591;0
0.0839481;16.856;0.132282;0.0765708;0
0.076524;15.732;0.127367;0.0723735;0
0.0778014;13.2172;0.124004;0.0762082;0
0.0779732;15.6472;0.127067;0.0669467;0
0.0619889;10.8122;0.120549;0.0651543;0
0.0877972;18.9072;0.137444;0.0655866;0
0.0882043;18.0434;0.128489;0.0742496;0
0.0659139;10.8968;0.127626;0.0701155;0
0.104997;20.6363;0.147653;0.0832913;0
0.078564;15.7279;0.12539;0.0704995;0
0.0746994;13.791;0.123305;0.0685597;0
0.0816379;15.8715;0.125934;0.0813804;0
0.106497;23.6161;0.14242;0.0733758;0
0.0619658;11.4586;0.111912;0.0678419;0
0.0969713;21.1071;0.128321;0.0719979;0
0.0826211;18.0534;0.122507;0.0647501;0
0.0816379;15.6953;0.138038;0.0762297;0
0.0641569;11.1877;0.115854;0.0707847;0
0.0998411;20.759;0.139036;0.0715042;0
0.0808241;16.0378;0.133122;0.0710512;0
0.0705596;12.8329;0.11841;0.0640714;0
0.0780804;16.3144;0.133593;0.0679637;0
0.0727225;13.0373;0.124967;0.069047;0
0.0793897;15.3494;0.125937;0.0615464;0
0.0767829;15.0791;0.128319;0.0739198;0
0.0764249;12.3583;0.130829;0.0673575;0
0.0494845;7.58582;0.107216;0.0649485;0
0.0813309;15.2738;0.126485;0.0683919;0
0.0687762;12.2552;0.119247;0.0677301;0
0.0713723;13.6668;0.119129;0.0637628;0
0.103485;24.571;0.143611;0.0725977;0
0.0628121;10.4118;0.11774;0.0646518;0
0.0766798;14.2398;0.125955;0.0664032;0
0.0693096;13.3161;0.113538;0.0668824;0
0.0581242;10.1461;0.113078;0.0649934;0
0.0897571;25.7933;0.122756;0.0718057;0
0.0759067;14.1847;0.137565;0.0670984;0
0.0808454;16.5089;0.123118;0.0655218;0
0.0941879;19.2875;0.133887;0.0744681;0
0.0639474;13.2284;0.122895;0.0760526;0
0.0850495;18.3038;0.125435;0.0724793;0
0.0604807;10.6022;0.111915;0.0664254;0
0.0714476;13.4737;0.118635;0.0653159;0
0.0760841;15.1776;0.123345;0.0766035;0
0.0775951;16.7269;0.128469;0.0670606;0
0.0507304;8.54927;0.106507;0.0661355;0
0.0864907;15.8495;0.134309;0.0679383;0
0.103876;23.0752;0.137726;0.074677;0
0.0710412;13.8793;0.123102;0.0694143;0
0.070488;12.8092;0.132714;0.0676478;0
0.07109;13.4705;0.123486;0.0645076;0
0.104958;21.6532;0.134494;0.0738397;0
0.09;19.1095;0.128421;0.0721053;0
0.0745921;13.4786;0.120953;0.0644911;0
0.0724227;14.0237;0.124742;0.0706186;0
0.0942103;18.2859;0.147283;0.0705942;0
0.0792906;18.2681;0.13276;0.0704225;0
0.0946429;19.9564;0.145153;0.0709184;0
0.10502;21.2882;0.137807;0.0704406;0
0.0709575;13.2807;0.116592;0.0670008;0
0.0878573;17.3839;0.134277;0.0687123;0
0.0904339;18.6764;0.13931;0.0687402;0
0.0697425;14.3836;0.11132;0.0705472;0
0.0958904;20.038;0.139829;0.073404;0
0.0519304;9.618;0.101686;0.0622621;0
0.116876;24.2494;0.15515;0.0775751;0
0.074421;13.5103;0.125683;0.0739006;0
0.0750464;14.0467;0.124105;0.0678865;0
0.0667522;11.9315;0.121951;0.0741977;0
0.0747738;14.3353;0.12959;0.0665247;0
0.0790899;17.1287;0.114843;0.0723185;0
0.0916492;23.7085;0.126576;0.0732668;0
0.0726895;13.9694;0.130322;0.0724299;0
0.073158;15.617;0.122885;0.072377;0
0.0548164;10.6535;0.10644;0.0620011;0
0.100365;22.7724;0.134254;0.0706465;0
0.0903491;19.6725;0.13732;0.074692;0
0.0825065;17.9822;0.125849;0.0691906;0
